year,iso3_code,country,region,total_members,n_dois,dois_per_member
2022,QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",8,10073,1259.125
2022,SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",32,16128,504
2022,SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",2,240,120
2022,TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",11,807,73.36363636363636
2022,YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",18,3789,210.5
2022,CAN,Canada,North America,230,952827,4142.726086956522
2022,USA,United States,North America,1781,49601995,27850.642897248737
2022,BGD,Bangladesh,South Asia,56,57154,1020.6071428571429
2022,BTN,Bhutan,South Asia,4,306,76.5
2022,IND,India,South Asia,979,1538368,1571.3667007150152
2022,LKA,Sri Lanka,South Asia,14,22678,1619.857142857143
2022,MDV,Maldives,South Asia,1,27,27
2022,NPL,Nepal,South Asia,17,36984,2175.529411764706
2022,AGO,Angola,Sub-Saharan Africa,4,208,52
2022,BDI,Burundi,Sub-Saharan Africa,1,241,241
2022,BEN,Benin,Sub-Saharan Africa,2,46,23
2022,BFA,Burkina Faso,Sub-Saharan Africa,2,66,33
2022,BWA,Botswana,Sub-Saharan Africa,1,24,24
2022,CAF,Central African Republic,Sub-Saharan Africa,1,5,5
2022,CMR,Cameroon,Sub-Saharan Africa,3,117,39
2022,COD,NA,Sub-Saharan Africa,1,6,6
2022,COG,"Congo, Rep.",Sub-Saharan Africa,1,28,28
2022,ETH,Ethiopia (excludes Eritrea),Sub-Saharan Africa,4,376,94
2022,GHA,Ghana,Sub-Saharan Africa,16,3113,194.5625
2022,KEN,Kenya,Sub-Saharan Africa,34,17527,515.5
2022,MDG,Madagascar,Sub-Saharan Africa,1,20,20
2022,MLI,Mali,Sub-Saharan Africa,2,287,143.5
2022,MRT,Mauritania,Sub-Saharan Africa,1,213,213
2022,MUS,Mauritius,Sub-Saharan Africa,3,3154,1051.3333333333333
2022,MWI,Malawi,Sub-Saharan Africa,1,21,21
2022,NAM,Namibia,Sub-Saharan Africa,2,81,40.5
2022,NGA,Nigeria,Sub-Saharan Africa,110,53446,485.8727272727273
2022,RWA,Rwanda,Sub-Saharan Africa,4,116,29
2022,SDN,Sudan,Sub-Saharan Africa,8,2206,275.75
2022,SEN,Senegal,Sub-Saharan Africa,3,1225,408.3333333333333
2022,SOM,Somalia,Sub-Saharan Africa,2,7,3.5
2022,TZA,Tanzania,Sub-Saharan Africa,6,1210,201.66666666666666
2022,UGA,Uganda,Sub-Saharan Africa,4,410,102.5
2022,ZAF,South Africa,Sub-Saharan Africa,60,188871,3147.85
2022,ZMB,Zambia,Sub-Saharan Africa,4,465,116.25
2022,ZWE,Zimbabwe,Sub-Saharan Africa,1,32,32
2021,AUS,Australia,East Asia & Pacific,164,462325,2819.0548780487807
2021,BRN,Brunei,East Asia & Pacific,2,95,47.5
2021,CHN,China,East Asia & Pacific,103,345447,3353.854368932039
